Year,Belgium,Czech Republic,France,Germany,Italy,Netherlands,Poland,Portugal,Romania,Spain,Sweden,United Kingdom,Norway,Turkey,Kazakhstan,Russia,Ukraine,Uzbekistan,Canada,United States,Argentina,Brazil,Chile,Colombia,Mexico,Venezuela,China,India,Indonesia,Japan,Malaysia,South Korea,Taiwan,Thailand,Australia,New Zealand,Algeria,Egypt,Nigeria,South Africa,Iran,Kuwait,Saudi Arabia,United Arab Emirates
1990,48,50,225,355,151,67,104,17,62,91,46,206,21,52,73,882,243,46,211,1910,46,141,14,24,123,40,874,306,99,440,22,94,48,42,87,14,22,32,66,90,69,9,58,20
1991,50,45,237,344,155,69,101,17,51,94,48,213,22,52,75,872,244,48,210,1925,47,143,14,24,129,41,848,318,103,445,27,101,52,46,86,14,23,32,70,93,77,3,68,23
1992,51,44,234,338,154,69,99,19,47,95,46,212,22,53,79,800,212,45,215,1964,50,145,15,25,131,46,877,330,108,455,30,111,54,49,87,14,24,33,72,88,81,9,77,22
1993,49,43,238,335,153,70,101,18,46,92,46,214,24,57,66,756,189,47,223,1998,50,148,16,26,133,43,929,338,119,457,32,125,58,51,91,15,24,34,74,94,87,12,80,24
1994,52,41,231,333,151,71,97,19,43,96,49,221,23,56,58,659,161,47,231,2036,53,156,17,27,136,50,973,351,119,483,32,133,60,57,92,15,23,33,72,98,97,14,84,26
1995,53,42,240,336,159,74,100,20,47,101,49,217,23,62,52,639,160,43,234,2063,54,161,18,28,132,47,1045,371,131,495,35,146,64,62,94,15,24,35,73,104,101,15,85,28
1996,56,43,250,348,159,77,107,20,48,99,50,226,23,67,45,634,147,44,238,2108,56,170,20,28,135,50,1074,383,136,506,39,158,67,69,100,16,23,37,76,107,98,15,90,29
1997,56,43,244,346,162,75,102,21,45,105,49,219,24,70,40,606,140,45,241,2130,58,179,23,27,142,50,1073,398,140,511,45,172,71,71,101,16,24,39,79,109,109,15,86,31
1998,57,42,251,343,166,76,95,23,41,111,50,221,25,72,39,591,132,50,240,2156,60,183,24,29,145,52,1078,407,137,501,42,158,75,66,104,16,25,42,80,111,111,17,92,32
1999,57,39,252,335,169,75,93,24,36,116,49,222,26,70,36,608,131,51,246,2206,61,187,25,26,150,50,1099,431,144,509,43,174,79,71,106,17,27,42,83,109,126,18,94,32
2000,58,41,255,337,172,76,89,25,36,122,46,223,26,76,36,619,129,51,254,2269,62,188,25,26,150,51,1130,441,156,519,49,190,85,72,108,17,27,40,87,111,123,19,98,32
2001,58,42,260,346,172,78,90,25,37,125,49,224,27,70,35,625,130,51,250,2226,59,191,25,26,155,53,1168,448,159,511,51,193,89,74,106,17,27,46,91,107,133,20,100,40
2002,56,43,261,339,173,78,89,26,38,129,52,220,25,74,40,622,131,53,251,2256,57,196,26,25,155,57,1246,462,165,512,53,201,93,82,109,17,29,47,94,103,138,21,111,40
2003,58,45,267,337,182,81,91,25,40,133,51,224,27,78,43,645,137,52,264,2261,61,199,26,26,165,53,1420,474,165,509,57,206,97,89,110,17,31,49,98,116,143,22,113,39
2004,58,46,271,339,183,82,91,26,39,140,53,222,27,81,51,647,138,51,270,2308,67,210,28,26,167,56,1615,499,176,524,61,212,100,96,112,18,31,53,99,126,156,23,120,42
2005,58,45,272,337,186,81,92,26,39,143,52,223,27,84,51,651,141,47,273,2319,67,216,28,27,178,55,1782,514,179,523,67,214,102,99,113,17,32,62,105,122,173,26,123,45
2006,58,46,268,346,184,80,97,25,40,142,50,219,27,93,61,670,137,48,278,2297,73,223,30,28,182,62,1950,533,183,523,67,218,105,101,118,17,35,65,106,126,180,26,136,46
2007,57,46,265,328,184,80,96,25,40,144,50,211,28,100,66,672,138,48,277,2338,74,236,31,28,181,58,2099,568,183,518,73,227,110,105,122,17,37,69,110,135,191,26,140,50
2008,58,45,267,331,182,79,98,25,40,139,50,208,32,99,70,687,135,50,273,2278,78,249,30,30,180,65,2155,600,186,498,77,232,106,108,127,18,37,72,113,145,205,29,157,60
2009,56,43,255,310,170,78,94,24,35,128,45,196,32,99,63,646,114,44,261,2165,76,241,30,31,180,65,2297,666,199,475,73,234,103,108,127,18,41,74,111,147,204,31,167,64
2010,60,45,263,326,174,84,101,23,35,128,51,203,30,106,69,688,132,43,263,2218,79,266,31,31,175,72,2536,700,207,501,74,256,111,118,127,19,40,73,127,138,204,32,185,61
2011,56,44,254,310,168,78,101,23,36,126,50,189,27,113,77,721,126,47,267,2192,81,270,34,31,184,67,2723,734,199,463,77,267,109,118,128,18,42,76,139,141,208,31,177,60
2012,54,43,254,311,161,78,98,21,35,126,50,194,28,117,74,739,122,48,268,2152,81,281,37,32,192,73,2821,766,209,453,79,271,107,126,127,19,46,79,140,135,217,34,199,64
2013,56,43,255,318,156,77,98,22,32,117,49,191,29,117,82,719,116,43,272,2196,83,293,38,39,192,69,2912,778,214,455,88,272,108,135,126,19,48,77,143,134,221,34,191,67
2014,53,42,244,306,147,73,94,21,32,115,48,180,29,121,77,724,106,44,280,2217,84,302,35,39,188,67,2965,824,225,439,90,277,110,134,125,21,52,80,146,142,237,32,213,74
2015,53,42,248,308,153,73,95,22,32,119,45,181,29,129,78,709,93,39,281,2194,86,296,36,38,185,60,2994,837,226,432,86,283,109,135,125,21,54,79,145,136,235,34,222,77
2016,56,42,244,310,151,74,100,22,32,120,49,179,28,137,82,732,94,38,281,2172,86,285,38,40,185,56,2965,862,230,428,90,293,110,139,130,21,54,86,150,140,248,36,210,74
2017,55,43,244,312,154,74,105,23,33,124,50,177,29,147,83,773,89,38,291,2180,85,289,38,38,187,54,3051,897,242,430,92,302,110,141,130,21,55,88,153,137,255,36,212,73
2018,53,43,243,301,155,73,111,22,32,123,50,176,29,148,87,800,88,40,301,2258,84,290,40,39,181,47,3164,929,251,424,92,307,112,142,132,21,57,90,156,139,265,36,210,72
